CompoundCityId,cityId,stateId
99561-45,99561,45
131609-34,131609,34
132078-17,132078,17
132258-9,132258,9
132516-35,132516,35
132561-30,132561,30
131126-46,131126,46
128438-30,128438,30
129109-9,129109,9
129268-32,129268,32
127776-22,127776,22
127848-14,127848,14
128224-9,128224,9
127270-29,127270,29
126565-40,126565,40
124212-36,124212,36
124378-48,124378,48
124686-32,124686,32
122858-28,122858,28
123589-9,123589,9
121132-35,121132,35
121996-21,121996,21
119936-31,119936,31
120523-32,120523,32
120792-18,120792,18
119487-58,119487,58
119753-39,119753,39
118614-58,118614,58
118768-22,118768,22
119061-45,119061,45
118181-28,118181,28
118197-27,118197,27
118214-44,118214,44
117028-45,117028,45
116157-32,116157,32
113242-17,113242,17
113499-58,113499,58
112739-36,112739,36
111675-44,111675,44
109101-30,109101,30
109242-22,109242,22
108384-22,108384,22
108596-34,108596,34
108690-40,108690,40
108154-7,108154,7
105990-15,105990,15
106004-22,106004,22
106606-30,106606,30
105183-44,105183,44
105242-17,105242,17
104772-6,104772,6
104922-15,104922,15
104548-21,104548,21
103539-30,103539,30
102639-22,102639,22
102820-30,102820,30
101372-45,101372,45
101849-44,101849,44
101892-22,101892,22
99878-22,99878,22
99888-15,99888,15
132548-34,132548,34
133066-35,133066,35
133088-48,133088,48
133215-14,133215,14
131490-21,131490,21
132234-18,132234,18
132401-32,132401,32
132453-27,132453,27
128740-31,128740,31
129241-30,129241,30
126954-44,126954,44
127031-36,127031,36
126357-29,126357,29
124508-32,124508,32
122927-27,122927,27
123483-10,123483,10
122582-5,122582,5
144130-21,144130,21
122257-28,122257,28
122405-24,122405,24
121304-15,121304,15
119649-38,119649,38
118703-22,118703,22
119230-15,119230,15
119643-45,119643,45
117568-19,117568,19
118534-21,118534,21
115875-34,115875,34
147210-27,147210,27
116549-17,116549,17
115549-40,115549,40
114155-4,114155,4
114486-30,114486,30
113809-19,113809,19
112770-58,112770,58
112595-34,112595,34
112607-23,112607,23
110276-19,110276,19
108014-58,108014,58
108210-19,108210,19
106949-30,106949,30
107419-35,107419,35
106019-22,106019,22
106224-14,106224,14
105295-9,105295,9
104180-21,104180,21
103758-28,103758,28
104001-28,104001,28
102818-31,102818,31
102970-27,102970,27
101720-20,101720,20
101911-30,101911,30
100212-28,100212,28
100680-44,100680,44
100044-19,100044,19
100288-29,100288,29
100337-17,100337,17
132234-27,132234,27
132582-17,132582,17
132962-11,132962,11
131550-23,131550,23
132111-44,132111,44
132135-9,132135,9
131481-45,131481,45
144163-28,144163,28
129101-9,129101,9
129515-29,129515,29
127701-9,127701,9
126747-9,126747,9
126922-24,126922,24
127192-44,127192,44
125028-17,125028,17
124065-32,124065,32
124946-30,124946,30
123672-9,123672,9
122539-22,122539,22
122588-20,122588,20
121299-28,121299,28
121960-58,121960,58
120552-29,120552,29
119289-21,119289,21
119695-20,119695,20
118071-30,118071,30
118398-35,118398,35
115862-30,115862,30
116322-40,116322,40
114360-31,114360,31
115816-9,115816,9
112602-45,112602,45
112841-17,112841,17
112882-6,112882,6
112075-34,112075,34
112242-34,112242,34
111662-29,111662,29
111720-34,111720,34
110967-24,110967,24
111005-35,111005,35
111065-15,111065,15
111273-58,111273,58
110608-26,110608,26
110642-35,110642,35
109479-17,109479,17
109971-26,109971,26
107363-45,107363,45
106610-9,106610,9
106630-22,106630,22
106711-19,106711,19
106788-7,106788,7
106826-21,106826,21
105407-23,105407,23
103068-9,103068,9
101716-17,101716,17
102145-44,102145,44
99743-17,99743,17
100038-45,100038,45
132812-34,132812,34
133232-44,133232,44
132205-27,132205,27
147519-40,147519,40
129306-29,129306,29
128501-18,128501,18
128641-19,128641,19
126410-26,126410,26
126724-7,126724,7
127209-17,127209,17
125482-24,125482,24
126302-30,126302,30
124396-55,124396,55
123730-17,123730,17
