CompoundCityId,cityId,stateId,Entity,Shape
99561-45,99561,45,FOUND,NOT_FOUND
99685-63,99685,63,NOT_FOUND,FOUND
99864-49,99864,49,FOUND,FOUND
99994-40,99994,40,FOUND,FOUND
100014-52,100014,52,NOT_FOUND,NOT_FOUND
100164-49,100164,49,FOUND,FOUND
147544-9,147544,9,NOT_FOUND,NOT_FOUND
132847-28,132847,28,FOUND,FOUND
132921-20,132921,20,NOT_FOUND,NOT_FOUND
132975-22,132975,22,NOT_FOUND,NOT_FOUND
133200-58,133200,58,FOUND,FOUND
131609-34,131609,34,FOUND,NOT_FOUND
131941-49,131941,49,FOUND,FOUND
132078-17,132078,17,FOUND,NOT_FOUND
132258-9,132258,9,FOUND,NOT_FOUND
132516-35,132516,35,FOUND,NOT_FOUND
132561-30,132561,30,FOUND,NOT_FOUND
130587-58,130587,58,FOUND,FOUND
130683-29,130683,29,NOT_FOUND,NOT_FOUND
130928-52,130928,52,NOT_FOUND,NOT_FOUND
131069-65,131069,65,NOT_FOUND,FOUND
131085-55,131085,55,NOT_FOUND,NOT_FOUND
131126-46,131126,46,FOUND,NOT_FOUND
129274-46,129274,46,NOT_FOUND,NOT_FOUND
129308-39,129308,39,NOT_FOUND,NOT_FOUND
129705-52,129705,52,NOT_FOUND,NOT_FOUND
130325-52,130325,52,NOT_FOUND,NOT_FOUND
147499-52,147499,52,NOT_FOUND,NOT_FOUND
130560-49,130560,49,FOUND,FOUND
128438-30,128438,30,FOUND,NOT_FOUND
128554-65,128554,65,NOT_FOUND,NOT_FOUND
128692-20,128692,20,NOT_FOUND,NOT_FOUND
128768-49,128768,49,FOUND,FOUND
129109-9,129109,9,FOUND,NOT_FOUND
129268-32,129268,32,FOUND,NOT_FOUND
127637-24,127637,24,NOT_FOUND,NOT_FOUND
127776-22,127776,22,FOUND,NOT_FOUND
127848-14,127848,14,FOUND,NOT_FOUND
127910-24,127910,24,FOUND,FOUND
128224-9,128224,9,FOUND,NOT_FOUND
128292-30,128292,30,FOUND,FOUND
127014-44,127014,44,FOUND,FOUND
127174-49,127174,49,NOT_FOUND,NOT_FOUND
127270-29,127270,29,FOUND,NOT_FOUND
127365-19,127365,19,FOUND,FOUND
127516-63,127516,63,NOT_FOUND,NOT_FOUND
127573-39,127573,39,FOUND,FOUND
125280-24,125280,24,NOT_FOUND,NOT_FOUND
125959-10,125959,10,NOT_FOUND,NOT_FOUND
126171-57,126171,57,FOUND,FOUND
126359-46,126359,46,NOT_FOUND,NOT_FOUND
126565-40,126565,40,FOUND,NOT_FOUND
126630-58,126630,58,NOT_FOUND,NOT_FOUND
124212-36,124212,36,FOUND,NOT_FOUND
124264-20,124264,20,NOT_FOUND,NOT_FOUND
124378-48,124378,48,FOUND,NOT_FOUND
124604-58,124604,58,NOT_FOUND,NOT_FOUND
124686-32,124686,32,FOUND,NOT_FOUND
125141-36,125141,36,NOT_FOUND,NOT_FOUND
123610-19,123610,19,FOUND,FOUND
123818-15,123818,15,FOUND,FOUND
123822-13,123822,13,NOT_FOUND,NOT_FOUND
123842-58,123842,58,NOT_FOUND,NOT_FOUND
146099-31,146099,31,NOT_FOUND,NOT_FOUND
124205-64,124205,64,NOT_FOUND,FOUND
122187-46,122187,46,NOT_FOUND,NOT_FOUND
122326-4,122326,4,FOUND,FOUND
122815-31,122815,31,NOT_FOUND,NOT_FOUND
122858-28,122858,28,FOUND,NOT_FOUND
123388-49,123388,49,FOUND,FOUND
123589-9,123589,9,FOUND,NOT_FOUND
120963-18,120963,18,FOUND,FOUND
121132-35,121132,35,FOUND,NOT_FOUND
121206-27,121206,27,FOUND,FOUND
121610-65,121610,65,NOT_FOUND,FOUND
121996-21,121996,21,FOUND,NOT_FOUND
122181-57,122181,57,FOUND,FOUND
119936-31,119936,31,FOUND,NOT_FOUND
120255-49,120255,49,NOT_FOUND,NOT_FOUND
120523-32,120523,32,FOUND,NOT_FOUND
147271-14,147271,14,FOUND,FOUND
120696-20,120696,20,FOUND,FOUND
120792-18,120792,18,FOUND,NOT_FOUND
119487-58,119487,58,FOUND,NOT_FOUND
119753-39,119753,39,FOUND,NOT_FOUND
119781-57,119781,57,FOUND,FOUND
119814-38,119814,38,FOUND,FOUND
119876-49,119876,49,NOT_FOUND,NOT_FOUND
119901-9,119901,9,NOT_FOUND,NOT_FOUND
118614-58,118614,58,FOUND,NOT_FOUND
118768-22,118768,22,FOUND,NOT_FOUND
118905-45,118905,45,FOUND,FOUND
119032-34,119032,34,NOT_FOUND,NOT_FOUND
119061-45,119061,45,FOUND,NOT_FOUND
119253-4,119253,4,FOUND,FOUND
118181-28,118181,28,FOUND,NOT_FOUND
118197-27,118197,27,FOUND,NOT_FOUND
118214-44,118214,44,FOUND,NOT_FOUND
118222-49,118222,49,NOT_FOUND,NOT_FOUND
118437-9,118437,9,NOT_FOUND,NOT_FOUND
118540-32,118540,32,FOUND,FOUND
117258-28,117258,28,FOUND,FOUND
117398-10,117398,10,FOUND,FOUND
